M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
756567756, 2098.07    , 0.07  , 102    , 756556500, 1587.36   , 0.06  , 85     , Dekat Mic2
757061276, 1727.09    , 0.08  , 119    , 757060423, 2928.19   , 0.0   , 97     , Dekat Mic2
757559478, 2120.32    , 0.06  , 117    , 757556715, 1132.83   , 0.01  , 80     , Dekat Mic2
758061620, 3535.86    , 0.07  , 134    , 758067014, 1561.75   , 0.06  , 86     , Dekat Mic1
758563884, 5104.34    , 0.11  , 154    , 758563059, 1531.95   , 0.02  , 66     , Dekat Mic2
759058112, 4640985.0  , 0.0   , 4480   , 759057183, 41407.79  , 0.04  , 413    , Dekat Mic2
759558504, 3765.75    , 0.06  , 146    , 759561899, 2608.86   , 0.06  , 99     , Dekat Mic1
760067875, 1751.54    , 0.08  , 100    , 760057216, 2528.17   , 0.0   , 87     , Dekat Mic2
760559264, 12085.25   , 0.02  , 187    , 760560261, 1091.31   , 0.04  , 69     , Dekat Mic1
761057411, 1109.22    , 0.09  , 105    , 761066941, 1136.89   , 0.09  , 77     , Dekat Mic1
761563562, 19878.91   , 0.02  , 281    , 761563274, 4176.29   , 0.0   , 117    , Dekat Mic2
762060347, 29393.69   , 0.01  , 334    , 762057691, 2486.46   , 0.02  , 96     , Dekat Mic2
762560249, 977.56     , 0.11  , 72     , 762567334, 1075.27   , 0.08  , 83     , Dekat Mic1
763060750, 8870.49    , 0.02  , 215    , 763059795, 4177.73   , 0.0   , 107    , Dekat Mic2
763558162, 4574322.0  , 0.0   , 3704   , 763556477, 81743.77  , 0.02  , 653    , Dekat Mic2
764058528, 4699.7     , 0.12  , 163    , 764065010, 3121.92   , 0.0   , 91     , Dekat Mic1
764564021, 1707.35    , 0.1   , 94     , 764560169, 3386.52   , 0.0   , 93     , Dekat Mic2
765065617, 1746.97    , 0.08  , 96     , 765066714, 485.15    , 0.12  , 71     , Dekat Mic1
765559952, 97006.11   , 0.01  , 649    , 765562356, 1637.48   , 0.04  , 79     , Dekat Mic1
766060686, 2303.43    , 0.06  , 95     , 766056379, 1571.91   , 0.01  , 79     , Dekat Mic2
766557961, 1791.37    , 0.09  , 89     , 766563489, 2564.14   , 0.0   , 81     , Dekat Mic1
767057084, 1004602.5  , 0.0   , 1938   , 767064843, 88919.72  , 0.01  , 672    , Dekat Mic1
767561256, 2031.5     , 0.1   , 140    , 767556931, 1265.51   , 0.03  , 92     , Dekat Mic2
768057244, 1615.81    , 0.11  , 109    , 768063788, 3935.71   , 0.0   , 99     , Dekat Mic1
768559613, 459.86     , 0.27  , 64     , 768565947, 1663.41   , 0.05  , 86     , Dekat Mic1
769067015, 1659461.62 , 0.01  , 3470   , 769066315, 64856.84  , 0.0   , 576    , Dekat Mic2
769562761, 3733.21    , 0.09  , 127    , 769562645, 3163.21   , 0.08  , 109    , Dekat Mic2
770065150, 1267.44    , 0.14  , 101    , 770061418, 3878.7    , 0.0   , 100    , Dekat Mic2
770557048, 17791.89   , 0.05  , 346    , 770557596, 3600.17   , 0.11  , 141    , Dekat Mic1
771067388, 1811.98    , 0.07  , 101    , 771064757, 2647.04   , 0.0   , 91     , Dekat Mic2
771558370, 1359.75    , 0.13  , 86     , 771557961, 1810.47   , 0.09  , 99     , Dekat Mic2
772060680, 5657686.5  , 0.01  , 3743   , 772056481, 339537.0  , 0.01  , 1353   , Dekat Mic2
772559998, 711.16     , 0.14  , 61     , 772556577, 408.6     , 0.1   , 64     , Dekat Mic2
773060556, 1570.78    , 0.16  , 119    , 773056653, 656.78    , 0.13  , 65     , Dekat Mic2
773560928, 2801.5     , 0.06  , 127    , 773562508, 3386.22   , 0.06  , 98     , Dekat Mic1
774062873, 2382345.0  , 0.0   , 2267   , 774056468, 21695.8   , 0.02  , 305    , Dekat Mic2
774565641, 1526.22    , 0.1   , 86     , 774559502, 4433.08   , 0.0   , 99     , Dekat Mic2
775062491, 971.25     , 0.11  , 79     , 775057244, 2658.31   , 0.0   , 102    , Dekat Mic2
775560822, 5035688.5  , 0.01  , 4621   , 775564998, 397230.34 , 0.0   , 1410   , Dekat Mic1
776060638, 960.8      , 0.17  , 87     , 776057327, 1769.96   , 0.0   , 83     , Dekat Mic2
776560426, 3620.52    , 0.08  , 134    , 776556620, 585.4     , 0.08  , 64     , Dekat Mic2
777065774, 1700.46    , 0.12  , 118    , 777057021, 1565.48   , 0.0   , 76     , Dekat Mic2
777563284, 1250660.25 , 0.01  , 2460   , 777566833, 70006.31  , 0.01  , 617    , Dekat Mic1
778057793, 3155.25    , 0.08  , 150    , 778061516, 4939.88   , 0.01  , 105    , Dekat Mic1
778562703, 838.07     , 0.14  , 76     , 778557429, 1291.26   , 0.03  , 83     , Dekat Mic2
779064645, 908.34     , 0.17  , 71     , 779062110, 5051.86   , 0.0   , 114    , Dekat Mic2
779557330, 1440.64    , 0.11  , 90     , 779556795, 1064.53   , 0.05  , 84     , Dekat Mic2
780065752, 1816.42    , 0.07  , 89     , 780056769, 3219.59   , 0.0   , 91     , Dekat Mic2
780560938, 1776.67    , 0.07  , 98     , 780562205, 3353.36   , 0.0   , 91     , Dekat Mic1
781058531, 2535227.0  , 0.0   , 2732   , 781062268, 32835.0   , 0.02  , 425    , Dekat Mic1
